Date,A2A,AMP,AZM,BMED,BMPS,BAMI,BPE,BC,BZU,CPR,DIA,ENEL,ENI,RACE,FBK,G,HER,IP,ISP,INW,IG,IVG,LDO,MB,MONC,NEXI,PIRC,PST,PRY,REC,SPM,SRG,STLAM,STMMI,TIT,TEN,TRN,UCG,UNI
1990-01-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.56,NaN,NaN,NaN,NaN,NaN,NaN,8.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.34,NaN,NaN,NaN,NaN,NaN,NaN,4.32,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-01-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.63,NaN,NaN,NaN,NaN,NaN,NaN,8.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.26,NaN,NaN,NaN,NaN,NaN,NaN,4.29,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN
1990-01-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.62,NaN,NaN,NaN,NaN,NaN,NaN,8.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.33,NaN,NaN,NaN,NaN,NaN,NaN,4.33,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-01-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.67,NaN,NaN,NaN,NaN,NaN,NaN,8.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.34,NaN,NaN,NaN,NaN,NaN,NaN,4.46,NaN,NaN,NaN,0.54,NaN,NaN,NaN,NaN
1990-01-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.74,NaN,NaN,NaN,NaN,NaN,NaN,8.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.36,NaN,NaN,NaN,NaN,NaN,NaN,4.51,NaN,NaN,NaN,0.56,NaN,NaN,NaN,NaN
1990-01-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.74,NaN,NaN,NaN,NaN,NaN,NaN,8.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.57,NaN,NaN,NaN,NaN,NaN,NaN,4.59,NaN,NaN,NaN,0.56,NaN,NaN,NaN,NaN
1990-01-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.76,NaN,NaN,NaN,NaN,NaN,NaN,8.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.61,NaN,NaN,NaN,NaN,NaN,NaN,4.7,NaN,NaN,NaN,0.56,NaN,NaN,NaN,NaN
1990-01-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.77,NaN,NaN,NaN,NaN,NaN,NaN,8.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.5,NaN,NaN,NaN,NaN,NaN,NaN,4.66,NaN,NaN,NaN,0.54,NaN,NaN,NaN,NaN
1990-01-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.53,NaN,NaN,NaN,NaN,NaN,NaN,7.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.57,NaN,NaN,NaN,NaN,NaN,NaN,4.7,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-01-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.63,NaN,NaN,NaN,NaN,NaN,NaN,8.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.55,NaN,NaN,NaN,NaN,NaN,NaN,4.82,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-01-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.66,NaN,NaN,NaN,NaN,NaN,NaN,8.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.55,NaN,NaN,NaN,NaN,NaN,NaN,5.05,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-01-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.62,NaN,NaN,NaN,NaN,NaN,NaN,8.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,NaN,NaN,NaN,NaN,NaN,NaN,5.13,NaN,NaN,NaN,0.54,NaN,NaN,NaN,NaN
1990-01-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.58,NaN,NaN,NaN,NaN,NaN,NaN,8.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.5,NaN,NaN,NaN,NaN,NaN,NaN,5.12,NaN,NaN,NaN,0.54,NaN,NaN,NaN,NaN
1990-01-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.57,NaN,NaN,NaN,NaN,NaN,NaN,7.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.31,NaN,NaN,NaN,NaN,NaN,NaN,4.88,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN
1990-01-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.46,NaN,NaN,NaN,NaN,NaN,NaN,8.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.35,NaN,NaN,NaN,NaN,NaN,NaN,4.88,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN
